OBJECTID,name,locationx,locationy
1,风驰租车,114.32579,30.510199
2,武汉百姓汽车租赁有限公司,114.363695,30.506581
3,武汉市鑫恒忆汽车服务有限公司,114.407655,30.495311
4,特来电充电站(武汉湖滨花园酒店),114.38416,30.51736
5,三川汽车租赁,114.398716,30.515349
6,红霞胜达汽车租赁,114.258703,30.436699
7,中国石油加油站,114.437344,30.5007
8,神州租车卓刀泉服务点,114.369166,30.517558
9,金鑫源租车,114.390553,30.505066
10,八点到租车(南湖店),114.322899,30.505405
11,方杨汽车租赁,114.369518,30.51959
12,八点到(南湖店),114.322899,30.505405
13,婚庆代驾自驾租车,114.342199,30.499607
14,车旅·百事通,114.363553,30.507584
15,惠通租车(南湖店),114.324467,30.500081
16,米子租车,114.377021,30.517184
17,惠通租车(团校路),114.370208,30.510791
18,郑州天达汽车租赁有限公司武汉分公司,114.393023,30.496992
19,一嗨租车(群光广场百脑汇送车点),114.356874,30.525242
20,加油加气站,114.348328,30.479922
21,大方租车(武汉南湖店),114.325728,30.50839
22,万马堂租车(华坤宾馆店),114.413698,30.501027
23,中虎租车,114.331416,30.513392
24,五环汽车租赁(光谷店),114.418405,30.506799
25,大方租车(光谷广场店),114.3964,30.505434
26,一嗨租车(武汉森林公园送车点),114.436362,30.506062
27,瑞卡便利租车(武汉光谷广场店),114.389065,30.504824
28,神州租车(南湖城市广场服务点),114.326168,30.507728
29,神州租车(南湖大道),114.404761,30.47944
30,瑞卡便利租车(武汉南湖店),114.325976,30.508849
