城市,纬度,经度,人口,GDP,人均GDP,著名景点,年份
武汉市,30.5431,114.3392,1184,16224,137000,黄鹤楼、东湖、武汉大学,2024
黄石市,30.2202,115.0754,263,1650,62738,铜绿山古铜矿遗址,2024
十堰市,32.6215,110.7718,339,2050,60472,武当山,2024
宜昌市,30.7075,111.2908,413,4500,108960,三峡大坝、三峡人家,2024
襄阳市,32.0006,112.1444,589,4320,73345,古隆中、襄阳古城,2024
鄂州市,30.3913,114.8948,105,1000,95238,梁子湖,2024
荆门市,31.0354,112.2036,287,2000,69686,明显陵,2024
孝感市,30.9163,113.9252,482,2200,45643,双峰山,2024
荆州市,30.3266,112.2377,566,2600,45936,荆州古城、洪湖湿地,2024
黄冈市,30.4476,114.8703,613,2100,34258,麻城龟山,2024
咸宁市,29.8414,114.3236,245,1400,57143,九宫山、赤壁古战场,2024
随州市,31.7171,113.3717,216,1100,50926,大洪山风景区,2024
恩施土家族苗族自治州,30.2838,109.4859,397,1200,30227,恩施大峡谷、腾龙洞,2024
仙桃市,30.3623,113.4563,117,900,76923,沔阳小镇,2024
武汉市,30.5431,114.3392,1137,15575,135630,黄鹤楼、东湖、武汉大学,2023
黄石市,30.2202,115.0754,250,1634,59601,铜绿山古铜矿遗址,2023
十堰市,32.6215,110.7718,336,1948,58658,武当山,2023
宜昌市,30.7075,111.2908,409,4320,103512,三峡大坝、三峡人家,2023
襄阳市,32.0006,112.1444,583,4104,72612,古隆中、襄阳古城,2023
鄂州市,30.3913,114.8948,104,980,94286,梁子湖,2023
荆门市,31.0354,112.2036,281,1920,66202,明显陵,2023
孝感市,30.9163,113.9252,472,2178,44730,双峰山,2023
荆州市,30.3266,112.2377,543,2522,45017,荆州古城、洪湖湿地,2023
黄冈市,30.4476,114.8703,588,2079,33915,麻城龟山,2023
咸宁市,29.8414,114.3236,243,1330,56000,九宫山、赤壁古战场,2023
随州市,31.7171,113.3717,205,1056,48380,大洪山风景区,2023
恩施土家族苗族自治州,30.2838,109.4859,393,1164,29018,恩施大峡谷、腾龙洞,2023
仙桃市,30.3623,113.4563,111,891,74615,沔阳小镇,2023
武汉市,30.5431,114.3392,1114,15108,134274,黄鹤楼、东湖、武汉大学,2022
黄石市,30.2202,115.0754,247,1601,58409,铜绿山古铜矿遗址,2022
十堰市,32.6215,110.7718,319,1909,56312,武当山,2022
宜昌市,30.7075,111.2908,401,4104,99372,三峡大坝、三峡人家,2022
襄阳市,32.0006,112.1444,577,3899,68981,古隆中、襄阳古城,2022
鄂州市,30.3913,114.8948,101,931,91457,梁子湖,2022
荆门市,31.0354,112.2036,267,1882,65540,明显陵,2022
孝感市,30.9163,113.9252,453,2091,42494,双峰山,2022
荆州市,30.3266,112.2377,538,2446,42766,荆州古城、洪湖湿地,2022
黄冈市,30.4476,114.8703,577,1975,32220,麻城龟山,2022
咸宁市,29.8414,114.3236,240,1290,55440,九宫山、赤壁古战场,2022
随州市,31.7171,113.3717,195,1014,47412,大洪山风景区,2022
恩施土家族苗族自治州,30.2838,109.4859,385,1117,28728,恩施大峡谷、腾龙洞,2022
仙桃市,30.3623,113.4563,107,855,70885,沔阳小镇,2022
武汉市,30.5431,114.3392,1080,14957,131588,黄鹤楼、东湖、武汉大学,2021
黄石市,30.2202,115.0754,242,1585,56073,铜绿山古铜矿遗址,2021
十堰市,32.6215,110.7718,306,1870,54059,武当山,2021
宜昌市,30.7075,111.2908,381,4022,96390,三峡大坝、三峡人家,2021
襄阳市,32.0006,112.1444,554,3782,68291,古隆中、襄阳古城,2021
鄂州市,30.3913,114.8948,96,912,90542,梁子湖,2021
荆门市,31.0354,112.2036,257,1825,64884,明显陵,2021
孝感市,30.9163,113.9252,444,2070,41219,双峰山,2021
荆州市,30.3266,112.2377,522,2373,40628,荆州古城、洪湖湿地,2021
黄冈市,30.4476,114.8703,565,1896,31897,麻城龟山,2021
咸宁市,29.8414,114.3236,235,1277,53777,九宫山、赤壁古战场,2021
随州市,31.7171,113.3717,189,963,45516,大洪山风景区,2021
恩施土家族苗族自治州,30.2838,109.4859,370,1062,28153,恩施大峡谷、腾龙洞,2021
仙桃市,30.3623,113.4563,101,813,68049,沔阳小镇,2021
武汉市,30.5431,114.3392,1048,14508,130272,黄鹤楼、东湖、武汉大学,2020
黄石市,30.2202,115.0754,238,1569,53269,铜绿山古铜矿遗址,2020
十堰市,32.6215,110.7718,291,1777,52978,武当山,2020
宜昌市,30.7075,111.2908,373,3861,94463,三峡大坝、三峡人家,2020
襄阳市,32.0006,112.1444,526,3706,65560,古隆中、襄阳古城,2020
鄂州市,30.3913,114.8948,95,867,87826,梁子湖,2020
